id;time;date;fillcolor;lat;lng
0035;13:16:19;Dec 03, 2014;0;52.512234;13.452529
0039;13:17:39;Dec 03, 2014;ffd007;52.51125;13.452279
0040;13:17:39;Dec 03, 2014;ffffff;52.51125;13.452279
0041;13:17:39;Dec 03, 2014;0;52.51125;13.452279
0038;13:17:46;Dec 03, 2014;f1a077;52.51125;13.452279
0037;13:17:55;Dec 03, 2014;008b87;52.51224;13.452548
0036;13:18:07;Dec 03, 2014;ff627a;52.51224;13.452548
0034;14:41:36;Dec 03, 2014;ff5294;52.509852;13.455667
0031;14:49:18;Dec 03, 2014;fe3238;52.509803;13.455574
0029;14:49:39;Dec 03, 2014;ff5721;52.509803;13.455574
0030;14:49:39;Dec 03, 2014;ffffff;52.509803;13.455574
0032;14:52:40;Dec 03, 2014;d99b54;52.509725;13.455611
0033;14:52:42;Dec 03, 2014;e7f4ff;52.509653;13.458852
0027;15:04:09;Dec 03, 2014;85a8ae;52.509953;13.455262
0026;21:39:56;Dec 04, 2014;c64400;48.856824;2.356961
0023;21:47:37;Dec 04, 2014;d2a874;48.858724;2.357588
0024;21:47:37;Dec 04, 2014;0;48.858724;2.357588
0025;21:47:37;Dec 04, 2014;1652c5;48.858724;2.357588
0021;18:47:39;Dec 05, 2014;ffffff;48.860872;2.345386
0022;18:47:39;Dec 05, 2014;0;48.860872;2.345386
0020;15:00:50;Dec 08, 2014;48ff45;48.863584;2.38666
0018;15:26:08;Dec 08, 2014;0004da;48.85758;2.370388
0019;15:26:08;Dec 08, 2014;0004da;48.85758;2.370388
0010;20:23:54;Dec 17, 2014;dedfde;48.883194;2.372056
0011;20:23:54;Dec 17, 2014;c2c2c0;48.883194;2.372057
0017;17:18:46;Dec 18, 2014;a94986;48.858064;2.358258
0002;13:14:07;Dec 3, 2014;aaa6a3;52.51225;13.452555
0003;13:14:07;Dec 3, 2014;bebbba;52.51225;13.452556
0004;13:14:07;Dec 3, 2014;cca1b9;52.51225;13.452557
0005;13:49:56;Dec 3, 2014;a8bfe3;52.509944;13.45536
0006;13:49:56;Dec 3, 2014;77696a;52.509944;13.455361
0007;13:49:56;Dec 3, 2014;cbc0c0;52.509944;13.455362
0001;13:50:49;Dec 3, 2014;9d968b;52.509889;13.4555
0012;14:55:54;Dec 3, 2014;cf8980;52.509881;13.455653
0013;14:55:54;Dec 3, 2014;aebbb7;52.509881;13.455654
0009;14:56:53;Dec 3, 2014;c1ac99;52.509944;13.45525
0008;21:38:38;Dec 4, 2014;bcbdb9;48.856694;2.356528
0057;15:58:34;Feb 05, 2015;ffea00;48.205312;16.351741
0042;16:19:15;Feb 05, 2015;0;48.204806;16.352509
0044;16:20:31;Feb 05, 2015;f4d07d;48.204346;16.352893
0054;16:20:58;Feb 05, 2015;fcd130;48.20431;16.352927
0047;16:30:28;Feb 05, 2015;f32845;48.204346;16.351914
0046;16:36:30;Feb 05, 2015;ffffff;48.204309;16.351933
0053;16:39:51;Feb 05, 2015;f80013;48.204257;16.352864
0052;16:40:25;Feb 05, 2015;ff74bc;48.204253;16.353043
0051;16:45:49;Feb 05, 2015;ffffff;48.204198;16.353612
0083;19:32:04;Feb 09, 2015;e61c06;48.209268;16.376745
0084;19:35:51;Feb 09, 2015;65b3ff;48.209266;16.376744
0086;19:42:48;Feb 09, 2015;91d15e;48.209819;16.375264
0087;20:02:12;Feb 09, 2015;8c7f50;48.207174;16.370103
0079;20:24:03;Feb 09, 2015;00ff4d;48.197642;16.365986
0080;20:24:03;Feb 09, 2015;feff6d;48.197641;16.365985
0077;21:21:54;Feb 09, 2015;0;48.199154;16.364911
0078;21:21:54;Feb 09, 2015;fa2e2e;48.199153;16.36491
0081;21:24:32;Feb 09, 2015;b3faff;48.198994;16.365085
0082;21:24:32;Feb 09, 2015;0;48.199284;16.364833
0076;21:26:10;Feb 09, 2015;ffffff;48.199272;16.36483
0075;21:26:25;Feb 09, 2015;0;48.199272;16.364831
0068;21:32:07;Feb 09, 2015;7b9dc0;48.201638;16.362772
0067;21:36:28;Feb 09, 2015;a8e3b6;48.201934;16.362344
0066;21:36:40;Feb 09, 2015;ffffff;48.201934;16.362344
0065;21:37:42;Feb 09, 2015;d5d6c1;48.202036;16.362135
0064;21:38:09;Feb 09, 2015;f04318;48.202084;16.36204
0063;21:38:20;Feb 09, 2015;2652;48.202156;16.361906
0062;21:39:45;Feb 09, 2015;ffe7f6;48.20232;16.361584
0061;21:40:12;Feb 09, 2015;0;48.202413;16.36131
0060;21:44:24;Feb 09, 2015;f7e374;48.202949;16.359502
0059;21:45:43;Feb 09, 2015;cbcbd8;48.218028;16.304139
0073;21:47:47;Feb 09, 2015;0;48.204387;16.357888
0074;21:47:47;Feb 09, 2015;b0180d;48.204386;16.357887
0072;22:02:04;Feb 9, 2015;4187da;48.203771;16.359094
0071;22:02:09;Feb 9, 2015;4c9ed4;48.203772;16.359095
0070;22:06:21;Feb 9, 2015;7b9dc0;48.204405;16.358343
0069;22:30:21;Feb 9, 2015;7498bd;48.201639;16.362778
0015;11:43:26;Jan 01, 2015;af6161;48.207664;16.380497
0016;11:43:26;Jan 01, 2015;af6161;48.207664;16.380497
0045;13:17:07;Jan 18, 2015;0;48.204346;16.352891
0058;00:54:25;Jan 20, 2015;ffffff;48.218017;16.304129
0048;14:27:26;Jan 23, 2015;b06a5f;48.214333;16.310845
0049;14:27:26;Jan 23, 2015;ff0000;48.214333;16.310845
0050;14:27:26;Jan 23, 2015;0;48.214333;16.310845
0043;14:30:38;Jan 23, 2015;ffb7ae;48.212884;16.31151
0055;14:33:34;Jan 23, 2015;f61f00;48.212182;16.31186
0056;22:54:50;Jan 24, 2015;83b0c6;48.208966;16.384443